                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1605,                 0.6909,                   1.14,                 0.7679,                0.69079,                0.73241,                0.39406,                   1.63,                0.96769,                   1.49,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2215,                0.71186,                 1.1536,                0.69666,                0.77001,                0.72565,                0.39199,                 1.5005,                0.91993,                 1.3723,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.1786,                0.69259,                 1.1457,                0.76593,                0.66259,                 0.7141,                0.38801,                 1.6416,                0.98203,                 1.5145,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.1426,                0.67554,                 1.1164,                0.68316,                0.73578,                0.69991,                0.38399,                 1.6321,                0.93773,                 1.4925,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1529,                0.67932,                 1.1265,                0.75884,                0.69885,                0.70887,                0.40756,                 1.4914,                0.93141,                 1.3658,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.1422,                0.66851,                 1.1173,                0.75164,                0.74246,                0.75174,                0.41772,                 1.6131,                0.87994,                  1.494,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.1449,                0.67265,                 1.1176,                0.71931,                0.77637,                0.75074,                0.39884,                 1.5293,                0.88027,                 1.4066,              0.0010069,              0.0010069,              0.0010069
                     42,                  1.139,                0.66555,                 1.1145,                0.68697,                0.76774,                0.72642,                0.41784,                 1.5183,                0.87617,                 1.4319,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0978,                0.62145,                 1.0943,                0.72385,                0.76852,                0.77125,                0.42288,                  1.549,                 0.8659,                 1.4273,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0941,                 0.6277,                 1.0859,                0.78615,                0.72133,                0.75485,                0.42591,                 1.5291,                0.94454,                 1.4279,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0749,                0.61416,                 1.0944,                0.77646,                0.73029,                0.73773,                0.41281,                 1.5025,                0.92686,                 1.3795,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.0805,                0.61292,                 1.0986,                0.78777,                0.69501,                0.76095,                0.40746,                 1.6293,                0.94655,                 1.5039,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0631,                 0.6142,                 1.0851,                0.77133,                0.74888,                0.75767,                0.38577,                 1.7013,                0.92416,                 1.6025,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.0444,                0.59525,                 1.0699,                0.75111,                0.71113,                0.74267,                0.41654,                 1.5268,                0.90637,                 1.4271,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.0258,                0.57097,                 1.0645,                0.75388,                 0.7644,                0.77705,                0.45157,                 1.5025,                 0.9429,                 1.3892,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.0394,                0.58888,                 1.0688,                0.75271,                0.73036,                0.74427,                 0.4132,                 1.5482,                0.89701,                 1.4188,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.0313,                0.58882,                 1.0638,                0.75259,                0.68768,                0.73458,                0.41966,                 1.5378,                0.91509,                 1.4071,             0.00084184,             0.00084184,             0.00084184
                     52,                  1.059,                0.58933,                 1.0741,                0.70936,                0.72278,                0.72632,                0.40107,                 1.5663,                0.92624,                 1.4569,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.0062,                0.56758,                 1.0549,                 0.7521,                0.72312,                0.72761,                0.41007,                 1.5406,                0.88361,                 1.4291,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.0064,                0.57343,                 1.0514,                0.71687,                0.72232,                0.71706,                0.42172,                 1.5207,                0.89174,                 1.4142,             0.00079233,             0.00079233,             0.00079233
                     55,                0.98777,                 0.5571,                 1.0422,                0.75721,                 0.7107,                 0.7532,                0.43756,                 1.5121,                0.88725,                  1.401,             0.00077582,             0.00077582,             0.00077582
                     56,                0.98678,                0.54941,                 1.0449,                0.73331,                0.71072,                0.73397,                0.41955,                 1.5542,                0.91262,                  1.448,             0.00075932,             0.00075932,             0.00075932
                     57,                0.98753,                0.55346,                 1.0381,                0.74866,                0.68743,                0.72925,                0.40379,                 1.5811,                0.94151,                 1.4513,             0.00074282,             0.00074282,             0.00074282
